iter	Passed	Remaining
569	54907	41421
570	55022	41338
571	55164	41276
572	55281	41195
573	55429	41137
574	55580	41081
575	55714	41011
576	55837	40934
577	55968	40863
578	56088	40782
579	56223	40713
580	56341	40631
581	56458	40548
582	56588	40475
583	56738	40416
584	56867	40341
585	56996	40267
586	57099	40173
587	57208	40084
588	57334	40007
589	57446	39920
590	57552	39829
591	57665	39742
592	57793	39666
593	57896	39572
594	58026	39497
595	58147	39415
596	58294	39351
597	58402	39260
598	58490	39156
599	58610	39073
600	58757	39008
601	58907	38945
602	59038	38869
603	59149	38780
604	59271	38697
605	59387	38611
606	59498	38522
607	59610	38433
608	59725	38345
609	59936	38319
610	60044	38228
611	60153	38136
612	60240	38031
613	60336	37931
614	60442	37838
615	60538	37738
616	60640	37642
617	60738	37544
618	60828	37440
619	60922	37339
620	61038	37252
621	61143	37157
622	61245	37062
623	61364	36976
624	61481	36888
625	61601	36803
626	61705	36708
627	61812	36614
628	61921	36522
629	62077	36458
630	62194	36370
631	62292	36271
632	62413	36186
633	62529	36097
634	62648	36010
635	62766	35923
636	62900	35844
637	63023	35759
638	63130	35665
639	63237	35570
640	63335	35471
641	63434	35373
642	63573	35296
643	63693	35209
644	63814	35122
645	63933	35034
646	64065	34953
647	64185	34866
648	64296	34773
649	64423	34689
650	64529	34594
651	64653	34508
652	64774	34420
653	64878	34323
654	64985	34229
655	65131	34154
656	65243	34061
657	65363	33972
658	65468	33876
659	65562	33774
660	65689	33689
661	65804	33598
662	65923	33508
663	66050	33423
664	66161	33329
665	66264	33231
666	66377	33138
667	66470	33036
668	66569	32936
669	66678	32841
670	66797	32751
671	66914	32660
672	67025	32566
673	67147	32478
674	67290	32399
675	67396	32302
676	67508	32208
677	67614	32112
678	67727	32018
679	67848	31928
680	67953	31831
681	68062	31735
682	68171	31640
683	68293	31551
684	68395	31452
685	68507	31357
686	68621	31264
687	68715	31161
688	68840	31073
689	68948	30977
690	69062	30883
691	69179	30790
692	69282	30692
693	69420	30609
694	69521	30509
695	69631	30413
696	69736	30315
697	69858	30225
698	69972	30131
699	70088	30037
700	70204	29944
701	70305	29844
702	70435	29757
703	70533	29656
704	70627	29553
705	70740	29458
706	70833	29355
707	70948	29261
708	71052	29162
709	71156	29063
710	71272	28970
711	71382	28873
712	71518	28787
713	71631	28692
714	71739	28595
715	71852	28500
716	71984	28412
717	72103	28319
718	72226	28227
719	72350	28136
720	72474	28044
721	72612	27958
722	72723	27862
723	72832	27764
724	72948	27669
725	73054	27571
726	73161	27473
727	73255	27370
728	73368	27274
729	73467	27172
730	73636	27097
731	73738	26997
732	73861	26904
733	73960	26803
734	74074	26707
735	74194	26613
736	74314	26519
737	74439	26426
738	74541	26326
739	74684	26240
740	74798	26144
741	74912	26047
742	75018	25948
743	75145	25856
744	75258	25759
745	75366	25661
746	75465	25559
747	75576	25461
748	75705	25369
749	75808	25269
750	75927	25174
751	76051	25080
752	76168	24984
753	76275	24885
754	76379	24785
755	76479	24683
756	76579	24582
757	76691	24484
758	76815	24390
759	76920	24290
760	77024	24190
761	77127	24089
762	77250	23995
763	77360	23896
764	77457	23794
765	77553	23691
766	77655	23590
767	77765	23491
768	77882	23395
769	77993	23296
770	78101	23197
771	78208	23097
772	78326	23001
773	78442	22904
774	78556	22806
775	78661	22706
776	78762	22604
777	78892	22511
778	79002	22412
779	79129	22318
780	79219	22213
781	79337	22117
782	79454	22019
783	79561	21920
784	79647	21814
785	79759	21715
786	79863	21614
787	79993	21521
788	80093	21419
789	80189	21316
790	80295	21215
791	80416	21119
792	80519	21018
793	80629	20919
794	80741	20820
795	80849	20720
796	80978	20625
797	81078	20523
798	81186	20423
799	81290	20322
800	81386	20219
801	81504	20121
802	81614	20022
803	81712	19919
804	81818	19819
805	81915	19716
806	82054	19623
807	82161	19523
808	82261	19421
809	82373	19322
810	82485	19222
811	82594	19122
812	82691	19020
813	82791	18918
814	82894	18816
815	83014	18718
816	83140	18622
817	83246	18521
818	83349	18420
819	83451	18318
820	83579	18222
821	83697	18124
822	83791	18020
823	83908	17922
824	84018	17822
825	84160	17728
826	84259	17626
827	84359	17523
828	84458	17421
829	84566	17320
830	84675	17220
831	84782	17119
832	84896	17020
833	85001	16918
834	85105	16817
835	85236	16720
836	85337	16618
837	85454	16519
838	85562	16418
839	85671	16318
840	85781	16217
841	85877	16114
842	85980	16012
843	86089	15912
844	86210	15813
845	86332	15715
846	86439	15614
847	86531	15510
848	86634	15408
849	86748	15308
850	86862	15208
851	86964	15106
852	87063	15003
853	87161	14901
854	87290	14803
855	87393	14701
856	87482	14597
857	87579	14494
858	87687	14393
859	87783	14290
860	87885	14188
861	87995	14087
862	88100	13985
863	88210	13884
864	88363	13790
865	88491	13692
866	88599	13591
867	88713	13490
868	88812	13388
869	88919	13286
870	89019	13184
871	89121	13082
872	89227	12980
873	89333	12878
874	89505	12786
875	89616	12685
876	89710	12581
877	89818	12480
878	89934	12380
879	90043	12278
880	90156	12177
881	90260	12075
882	90365	11973
883	90486	11873
884	90606	11773
885	90699	11670
886	90822	11570
887	90928	11468
888	91039	11367
889	91141	11264
890	91247	11162
891	91353	11060
892	91457	10958
893	91595	10860
894	91694	10757
895	91785	10653
896	91886	10551
897	91985	10448
898	92111	10348
899	92221	10246
900	92322	10144
901	92431	10042
902	92524	9938
903	92663	9840
904	92774	9738
905	92875	9636
906	92969	9532
907	93060	9429
908	93171	9327
909	93273	9224
910	93383	9123
911	93483	9020
912	93586	8917
913	93722	8818
914	93834	8716
915	93937	8614
916	94053	8512
917	94167	8411
918	94273	8309
919	94387	8207
920	94489	8104
921	94590	8002
922	94705	7900
923	94822	7799
924	94926	7696
925	95022	7593
926	95128	7491
927	95236	7389
928	95366	7288
929	95473	7186
930	95568	7082
931	95680	6980
932	95821	6881
933	95936	6779
934	96041	6676
935	96147	6574
936	96248	6471
937	96370	6369
938	96478	6267
939	96583	6164
940	96689	6062
941	96800	5960
942	96921	5858
943	97025	5755
944	97120	5652
945	97231	5550
946	97355	5448
947	97448	5345
948	97558	5242
949	97669	5140
950	97790	5038
951	97922	4937
952	98122	4839
953	98234	4736
954	98333	4633
955	98456	4531
956	98568	4428
957	98663	4325
958	98770	4222
959	98876	4119
960	99013	4018
961	99113	3915
962	99207	3811
963	99315	3708
964	99425	3606
965	99530	3503
966	99644	3400
967	99748	3297
968	99857	3194
969	100000	3092
970	100120	2990
971	100222	2887
972	100327	2784
973	100428	2680
974	100527	2577
975	100630	2474
976	100740	2371
977	100842	2268
978	100954	2165
979	101083	2062
980	101232	1960
981	101348	1857
982	101469	1754
983	101599	1652
984	101723	1549
985	101847	1446
986	101960	1342
987	102067	1239
988	102283	1137
989	102393	1034
990	102485	930
991	102588	827
992	102687	723
993	102801	620
994	102920	517
995	103017	413
996	103117	310
997	103216	206
998	103375	103
999	103492	0
